8100,59510
16495,7045
19000,2256
11000,48961
12189,10283
13500,11382
18600,14005
10870,19862
2699,86726
17850,4233
17140,7987
14500,22587
16998,4286
18330,10503
10270,18653
12590,14478
6477,41250
21500,44482
18490,11541
12500,12118
18947,9615
11689,14132
12250,8586
26499,26500
18499,14682
18610,10843
17750,19510
20570,6797
16920,13516
16890,9938
14000,9137
10000,19785
9380,21945
7495,56329
13999,21997
28580,1494
16500,9066
16370,9717
15700,6238
11200,15410
11750,32746
13000,12456
8495,59865
17499,17663
10498,26029
10990,22947
15995,8333
7650,51205
10000,49904
15295,9695
10295,23742
12495,25661
2900,75800
9000,64195
7182,56984
30359,2068
10498,42002
18698,15365
17900,6690
12000,15238
28730,6108
16498,6619
19725,3309
6920,62251
16000,19834
15950,6283
14390,10889
17520,150
5499,53126
9600,28258
17891,14384
8000,65000
6998,76588
17199,3305
19999,3000
17197,22093
11250,41495
11490,45000
24850,24200
14450,20850
11000,17339
10991,28081
17389,10898
6980,14939
18899,11010
5495,76000
950,150000
12000,15238
18250,11323
18900,9552
11500,72085
22150,3024
8600,46923
8998,31501
9725,18291
28580,1494
17950,27188
16655,12119
12491,27000
7798,43287
16999,7865
5490,71445
17310,13376
16995,10688
12999,9500
11397,14668
12300,27823
16899,11533
29350,1617
13950,10467
16250,13325
16298,12029
13990,9470
1995,76530
13979,16808
10468,13076
14999,9795
15497,1310
14450,20850
11700,21934
10698,32701
18900,1318
13499,13377
8000,49327
7995,51217
17520,4892
6000,72500
20900,12307
8000,51378
12661,34457
13691,12603
1995,141000
15370,6736
13490,13842
11998,29826
17998,21817
10295,46713
16950,11939
17451,14584
8500,37695
9498,50875
15998,26023
7990,42000
16950,9212
24900,10836
14890,11399
17337,21661
8490,65273
9880,13370
15700,5300
15235,12811
16530,5000
10995,33313
17310,13376
19400,3507
15440,10500
11998,9038
17520,8
15800,6681
10498,17685
9995,35286
3690,80000
11997,10708
8690,44943
15990,3914
10800,18218
20999,15000
11600,27910
5995,91000
11000,48961
7795,30000
17252,15834
15995,6000
13497,19293
12295,14750
25799,3871
10680,22040
15440,5684
5299,78767
5899,50914
11750,32746
15597,7231
9900,35452
19427,21863
6891,97190
8250,64734
1885,98213
1850,74500
13000,12456
11999,16473
10997,26828
11000,12358
18030,14608
13491,15919
11698,8111
16300,5113
12091,25250
11499,9122
17520,100
13899,14563
15998,12699
15795,18646
13800,37344
14299,22035
18000,6500
7096,53767
18689,14277
15750,5155
15860,4265
15000,12234
7990,28971
10999,15555
8495,40746
10990,47000
11495,32546
17500,11211
12698,13588
9750,15354
11499,23187
12000,21316
27580,7069
14740,31685
12950,14842
18798,17691
15580,9000
11990,29478
13290,9459
6490,30869
17520,5127
17495,8107
23700,12504
13498,10150
24995,7997
11491,19399
17217,2492
18399,21000
20000,3750
9995,34040
14998,7000
6995,37557
16200,19611
9990,59407
18987,13081
16700,11968
20499,3572
20370,13008
18140,4577
25250,6137
12000,15238
16700,7590
19665,8864
17350,2931
16998,4152
11498,12418
2495,70730
10995,13791
11370,14090
16400,12627
9797,25286
16950,11939
14610,11427
13995,12521
8998,49080
15124,17354
9100,38379
10999,16251
19000,17127
14390,11543
19998,4000
16920,16825
10900,13338
10298,34211
10000,19785
19491,10001
14199,13238
17995,14569
10990,21647
15390,5341
17495,2808
16040,11834
9499,30825
17395,1672
20100,4905
6300,50475
17495,7471
12638,46628
13499,11277
11500,37446
20391,2738
20000,12787
13495,7672
17500,21752
11500,22241
5995,59000
7495,78000
8798,46325
13899,14563
16625,12690
15699,9004
20480,4711
11250,41495
11885,27000
11495,21000
17520,2269
10998,7426
12499,14952
16000,9493
18990,12131
16499,8110
13500,27916
11991,24174
11640,29546
13497,12565
17995,14569
8620,42610
7500,53130
6995,48734
8899,7802
12500,8220
6995,53700
10495,24461
9500,46000
7475,50000
11250,41495
19700,2332
17970,10985
16998,18678
10590,20701
10291,21156
12000,15238
16107,2750
11800,6859
10690,17113
21660,3212
12400,26719
10795,20418
4495,30000
11498,40850
27995,7725
17299,19688
11250,12302
13000,34466
14497,4212
11100,42500
18990,8624
15660,8387
11750,32746
16350,13891
18500,16970
6490,69000
8000,45566
12195,11821
22150,3024
18125,3376
10999,11621
18060,18660
14460,14021
15490,17988
9999,16000
15990,6314
10150,18291
28930,2950
4690,79000
19500,16818
10250,18421
15510,4198
10950,20191
11698,24706
13190,22786
13750,13000
14999,4975
11250,7330
18991,19460
9750,22850
6699,37773
21570,8566
4299,39911
16294,13000
16000,5367
3699,60466
21570,8566
17000,7262
10995,22511
10500,52571
30999,10
6975,79347
13498,11206
19698,16548
7498,62228
6390,45478
9991,19907
12000,18952
16477,292
8899,49470
19490,729
12190,32340
18998,19725
13490,11710
13749,32258
8000,30558
18495,5500
16500,1010
10489,24121
8650,47907
9000,34475
14000,5450
16492,16449
29495,4430
17440,7937
2995,130000
16850,13452
16500,8781
5048,60100
12998,18661
17400,14398
11495,14174
3695,88151
10998,15265
10795,22727
11695,22804
9545,33190
7500,53130
7990,19227
8990,36574
11300,13300
11890,19097
8490,20587
21680,4677
7498,54701
12989,17989
11000,17423
17999,3521
18000,5909
10500,33511
13998,16879
18785,12395
11998,14032
20400,1590
15000,2772
17999,1291
11999,30953
11000,29000
21420,3655
7983,29390
16690,19091
8500,32620
15940,13752
17520,1987
22499,21000
7295,83823
19494,8228
20905,1904
10720,15845
10810,30228
11750,32746
1699,121000
10500,28879
15435,11645
18795,14076
22390,28794
7695,59260
11395,25887
17500,2321
15800,9379
4495,87577
14500,22587
10795,24161
18490,14457
18990,8213
18900,100
12500,18101
14925,12987
11995,15000
19500,3000
11498,25464
16400,13240
15935,11291
11677,10604
21680,4677
12000,16299
19498,4551
12430,16515
14400,22973
14991,13712
11850,18466
9610,50332
13695,15930
10000,9012
13997,17734
6500,57029
15495,10561
19015,10230
2799,100900
10250,29705
16998,13039
10500,26000
10200,43234
8350,18403
11491,11045
10689,15337
